Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000010,false,Rx,0,7,55,DC,A5,D3,53,78,80,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
111000,00000488,false,Rx,0,8,ED,33,00,70,FE,FF,FF,50,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,DD,33,00,70,FE,FF,FF,60,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000284,false,Rx,0,6,04,04,00,00,00,00,00,00,
123000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,CD,33,00,70,FE,FF,FF,70,
136000,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,3D,33,00,70,FE,FF,FF,80,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000284,false,Rx,0,6,05,05,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,2D,33,00,70,FE,FF,FF,90,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,1D,33,00,70,FE,FF,FF,A0,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000284,false,Rx,0,6,06,06,00,00,00,00,00,00,
160000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
164000,00000010,false,Rx,0,7,57,DE,A7,D5,5B,F5,80,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,0D,33,00,70,FE,FF,FF,B0,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,7D,33,00,70,FE,FF,FF,C0,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000284,false,Rx,0,6,07,07,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,6D,33,00,70,FE,FF,FF,D0,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,5D,33,00,70,FE,FF,FF,E0,
0,00000480,false,Rx,0,8,84,2C,00,00,19,40,00,F1,
0,00000284,false,Rx,0,6,08,08,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,4D,33,00,70,FE,FF,FF,F0,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,42,33,00,70,FE,FF,00,00,
0,00000480,false,Rx,0,8,84,2C,00,00,19,40,00,F1,
0,00000284,false,Rx,0,6,09,09,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000010,false,Rx,0,7,55,DC,A5,D3,53,78,80,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,AD,33,00,70,FE,FF,FF,10,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,62,33,00,70,FE,FF,00,20,
0,00000480,false,Rx,0,8,84,2C,00,00,19,40,00,F1,
0,00000284,false,Rx,0,6,0A,0A,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,72,33,00,70,FE,FF,00,30,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,02,33,00,70,FE,FF,00,40,
0,00000480,false,Rx,0,8,84,2C,00,00,19,40,00,F1,
0,00000284,false,Rx,0,6,0B,0B,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,ED,33,00,70,FE,FF,FF,50,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,DD,33,00,70,FE,FF,FF,60,
0,00000480,false,Rx,0,8,C2,2C,00,00,19,40,00,B7,
0,00000284,false,Rx,0,6,0C,0C,00,00,00,00,00,00,
283000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000010,false,Rx,0,7,57,DE,A7,D5,5B,F5,80,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
291000,00000488,false,Rx,0,8,CD,33,00,70,FE,FF,FF,70,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,3D,33,00,70,FE,FF,FF,80,
0,00000480,false,Rx,0,8,C2,2C,00,00,19,40,00,B7,
0,00000284,false,Rx,0,6,0D,0D,00,00,00,00,00,00,
303000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,2D,33,00,70,FE,FF,FF,90,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,1D,33,00,70,FE,FF,FF,A0,
0,00000480,false,Rx,0,8,C2,2C,00,00,19,40,00,B7,
0,00000284,false,Rx,0,6,0E,0E,00,00,00,00,00,00,
324000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,0D,33,00,70,FE,FF,FF,B0,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,7D,33,00,70,FE,FF,FF,C0,
0,00000480,false,Rx,0,8,C2,2C,00,00,19,40,00,B7,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000284,false,Rx,0,6,0F,0F,00,00,00,00,00,00,
344000,00000010,false,Rx,0,7,55,DC,A5,D3,53,78,80,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,6D,33,00,70,FE,FF,FF,D0,
353000,00000580,false,Rx,0,8,81,00,00,7F,00,F0,47,01,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,5D,33,00,70,FE,FF,FF,E0,
0,00000480,false,Rx,0,8,1C,2C,00,00,19,40,00,69,
0,00000284,false,Rx,0,6,00,00,00,00,00,00,00,00,
361000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,4D,33,00,70,FE,FF,FF,F0,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,42,33,00,70,FE,FF,00,00,
0,00000480,false,Rx,0,8,1C,2C,00,00,19,40,00,69,
0,00000284,false,Rx,0,6,01,01,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,AD,33,00,70,FE,FF,FF,10,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,62,33,00,70,FE,FF,00,20,
0,00000480,false,Rx,0,8,1C,2C,00,00,19,40,00,69,
0,00000284,false,Rx,0,6,02,02,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
406000,00000010,false,Rx,0,7,57,DE,A7,D5,5B,F5,80,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,72,33,00,70,FE,FF,00,30,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,02,33,00,70,FE,FF,00,40,
0,00000480,false,Rx,0,8,1C,2C,00,00,19,40,00,69,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000284,false,Rx,0,6,03,03,00,00,00,00,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,ED,33,00,70,FE,FF,FF,50,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,DD,33,00,70,FE,FF,FF,60,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000284,false,Rx,0,6,04,04,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,CD,33,00,70,FE,FF,FF,70,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,3D,33,00,70,FE,FF,FF,80,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000284,false,Rx,0,6,05,05,00,00,00,00,00,00,
463000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000010,false,Rx,0,7,55,DC,A5,D3,53,78,80,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,2D,33,00,70,FE,FF,FF,90,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,1D,33,00,70,FE,FF,FF,A0,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
484000,00000284,false,Rx,0,6,06,06,00,00,00,00,00,00,
0,00000280,false,Rx,0,8,A3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
492000,00000488,false,Rx,0,8,0D,33,00,70,FE,FF,FF,B0,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,7D,33,00,70,FE,FF,FF,C0,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000284,false,Rx,0,6,07,07,00,00,00,00,00,00,
504000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,6D,33,00,70,FE,FF,FF,D0,
517000,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,5D,33,00,70,FE,FF,FF,E0,
0,00000480,false,Rx,0,8,84,2C,00,00,19,40,00,F1,
0,00000284,false,Rx,0,6,08,08,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
525000,00000010,false,Rx,0,7,57,DE,A7,D5,5B,F5,80,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,4D,33,00,70,FE,FF,FF,F0,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,42,33,00,70,FE,FF,00,00,
0,00000480,false,Rx,0,8,84,2C,00,00,19,40,00,F1,
0,00000284,false,Rx,0,6,09,09,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,AD,33,00,70,FE,FF,FF,10,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,62,33,00,70,FE,FF,00,20,
0,00000480,false,Rx,0,8,84,2C,00,00,19,40,00,F1,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000284,false,Rx,0,6,0A,0A,00,00,00,00,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,72,33,00,70,FE,FF,00,30,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,02,33,00,70,FE,FF,00,40,
0,00000480,false,Rx,0,8,84,2C,00,00,19,40,00,F1,
0,00000284,false,Rx,0,6,0B,0B,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
586000,00000010,false,Rx,0,7,55,DC,A5,D3,53,78,80,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,ED,33,00,70,FE,FF,FF,50,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,DD,33,00,70,FE,FF,FF,60,
0,00000480,false,Rx,0,8,C2,2C,00,00,19,40,00,B7,
0,00000284,false,Rx,0,6,0C,0C,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,CD,33,00,70,FE,FF,FF,70,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,3D,33,00,70,FE,FF,FF,80,
0,00000480,false,Rx,0,8,C2,2C,00,00,19,40,00,B7,
0,00000284,false,Rx,0,6,0D,0D,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,2D,33,00,70,FE,FF,FF,90,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,1D,33,00,70,FE,FF,FF,A0,
0,00000480,false,Rx,0,8,C2,2C,00,00,19,40,00,B7,
0,00000284,false,Rx,0,6,0E,0E,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000010,false,Rx,0,7,57,DE,A7,D5,5B,F5,80,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,0D,33,00,70,FE,FF,FF,B0,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,7D,33,00,70,FE,FF,FF,C0,
0,00000480,false,Rx,0,8,C2,2C,00,00,19,40,00,B7,
664000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000284,false,Rx,0,6,0F,0F,00,00,00,00,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
672000,00000488,false,Rx,0,8,6D,33,00,70,FE,FF,FF,D0,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,5D,33,00,70,FE,FF,FF,E0,
0,00000480,false,Rx,0,8,1C,2C,00,00,19,40,00,69,
0,00000284,false,Rx,0,6,00,00,00,00,00,00,00,00,
685000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,E8,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,4D,33,00,70,FE,FF,FF,F0,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,42,33,00,70,FE,FF,00,00,
0,00000480,false,Rx,0,8,1C,2C,00,00,19,40,00,69,
0,00000284,false,Rx,0,6,01,01,00,00,00,00,00,00,
705000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000010,false,Rx,0,7,55,DC,A5,D3,53,78,80,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,AD,33,00,70,FE,FF,FF,10,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,62,33,00,70,FE,FF,00,20,
0,00000480,false,Rx,0,8,1C,2C,00,00,19,40,00,69,
0,00000284,false,Rx,0,6,02,02,00,00,00,00,00,00,
721000,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,2C,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
734000,00000488,false,Rx,0,8,72,33,00,70,FE,FF,00,30,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,02,33,00,70,FE,FF,00,40,
0,00000480,false,Rx,0,8,1C,2C,00,00,19,40,00,69,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
0,00000284,false,Rx,0,6,03,03,00,00,00,00,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,ED,33,00,70,FE,FF,FF,50,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,DD,33,00,70,FE,FF,FF,60,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000284,false,Rx,0,6,04,04,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
766000,00000010,false,Rx,0,7,57,DE,A7,D5,5B,F5,80,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,64,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,CD,33,00,70,FE,FF,FF,70,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,3D,33,00,70,FE,FF,FF,80,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
0,00000588,false,Rx,0,8,0B,00,70,00,00,80,00,00,
783000,00000284,false,Rx,0,6,05,05,00,00,00,00,00,00,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,2D,33,00,70,FE,FF,FF,90,
0,00000280,false,Rx,0,8,B3,8A,00,00,33,FA,28,33,
0,00000288,false,Rx,0,8,8A,33,D1,00,00,75,75,53,
0,00000380,false,Rx,0,8,30,00,00,96,20,00,00,FE,
0,00000488,false,Rx,0,8,1D,33,00,70,FE,FF,FF,A0,
0,00000480,false,Rx,0,8,54,2C,00,00,19,40,00,21,
